Anonymized_Student_ID,Exam_1,Exam_2,Exam_3,Final_exam,E1,E2,E3,FINAL,Course_Grade,C_and_below,Group,Firstgen_Adm,Ethnicity,Gender,Pell,AR,Onetest,STEM_AP_Count
1NamZdQR7aSvKQ4itD98rv2odpZrEqHLxR,63,99,68,57,B,F,B,F,F,C_and_Below,Scholars,Not_Firstgen,Not_White,Female,Not_Pell,Below_5,Above_1380,More_then_2_pass
1DQjUS2n7dZL1ejkPb89Z9s4KTRoAfA6Fz,36,100,90,48,C,B,F,C,B,C_and_Above,Control,Firstgen,Not_White,Male,Not_Pell,Above_5,Above_1380,Less_then_2_pass
14Vbb8cmYGxdC5FQey7FQSukCcMwvU8e8M,89,88,71,43,F,D,C,B,D,C_and_Below,Regular,Not_Firstgen,Not_White,Male,Not_Pell,Below_5,Below_1380,Less_then_2_pass
14BeVQDLc6ugZybiBZzpxn8PjqZ1SfWdbB,58,44,12,27,C,C,A,C,A,C_and_Below,Scholars,Firstgen,Not_White,Female,Not_Pell,Above_5,Above_1380,More_then_2_pass
1PQ1foMir2ZEdCEGPF3nZyhpng4yBJ4kn5,76,38,36,30,D,F,F,F,C,C_and_Below,Regular,Not_Firstgen,White,Female,Pell,Above_5,Above_1380,More_then_2_pass
1DeEBh3xLgV7SHkpdrvKhBSo5txYM3aA1Q,69,8,54,80,D,B,D,B,B,C_and_Above,Control,Not_Firstgen,Not_White,Male,Not_Pell,Above_5,Below_1380,Less_then_2_pass
1GV7A9MBau2oeWJf1ioU1XvRJLiWGeyipa,60,14,59,35,B,F,F,D,B,C_and_Above,Scholars,Not_Firstgen,Not_White,Male,Pell,Above_5,Below_1380,Less_then_2_pass
1G1vMUGrUgj2UbWfef4kJ61ZD53WeHBsfk,75,100,9,73,F,B,F,C,A,C_and_Above,Scholars,Not_Firstgen,White,Male,Pell,Below_5,Below_1380,More_then_2_pass
1BnxVmSBaQRWzJT6HUiBMWk4iRc8w6CdXq,95,61,61,89,A,B,F,D,A,C_and_Above,Control,Firstgen,Not_White,Female,Not_Pell,Below_5,Below_1380,More_then_2_pass
1EwK3cMKAwpbRHE8DHCFhz4buCvUXUVb4o,20,37,11,13,B,F,C,D,D,C_and_Above,Control,Firstgen,Not_White,Female,Not_Pell,Above_5,Below_1380,Less_then_2_pass
1Pz8wnR6rWsy3vJCBaZPfDwguU5fwpPLSw,11,42,93,61,A,B,C,A,C,C_and_Above,Regular,Not_Firstgen,White,Male,Pell,Above_5,Below_1380,Less_then_2_pass
1CLVdtfrvUyJnrcmgafyJt2jmhFwTeNPdc,55,43,43,51,B,A,F,B,D,C_and_Below,Regular,Firstgen,White,Male,Not_Pell,Above_5,Below_1380,More_then_2_pass
1H59BQu6NbaHfDz1EkajGmap1w7kvZi3pA,2,21,95,90,A,C,D,F,B,C_and_Below,Regular,Not_Firstgen,Not_White,Female,Not_Pell,Below_5,Above_1380,More_then_2_pass
1CLGkytySJS96ksfY9hd3K1SDreRzdoCGK,34,24,88,87,B,C,A,B,C,C_and_Below,Regular,Firstgen,White,Female,Pell,Below_5,Below_1380,More_then_2_pass
1MXpgHgkYtprbSaMvu36bi5JwofsLX8ePh,94,68,36,45,D,B,F,A,F,C_and_Above,Control,Firstgen,Not_White,Male,Pell,Below_5,Below_1380,More_then_2_pass
1Lgaveku2jCaFT79WuW5iESdbFz6JLTJpn,54,52,38,16,C,C,C,D,F,C_and_Below,Regular,Not_Firstgen,White,Female,Not_Pell,Below_5,Below_1380,Less_then_2_pass
15yMkMjNqGyVW9s7Jr7qswXfRPN98qidi1,15,26,3,60,C,A,A,D,D,C_and_Below,Scholars,Not_Firstgen,Not_White,Female,Not_Pell,Below_5,Below_1380,Less_then_2_pass
18vbexo4dhrmioc7EQ4ctWcQDoyoSTrYYV,19,68,75,64,A,A,D,F,B,C_and_Below,Regular,Firstgen,White,Male,Pell,Below_5,Below_1380,More_then_2_pass
12oYZoyjqhu47hJV5q4UcjEe9LjUYcpJuq,69,21,90,99,F,D,B,B,B,C_and_Below,Scholars,Not_Firstgen,Not_White,Male,Pell,Below_5,Below_1380,More_then_2_pass
14CJGwp8Nec7VgGGZuDxJz79FtytPT8TM1,43,21,90,61,D,D,C,C,C,C_and_Below,Scholars,Firstgen,Not_White,Male,Pell,Above_5,Below_1380,Less_then_2_pass
1HArxurobbVF6Jn5F5T6ioGvepAiud38Dq,25,5,45,64,F,C,D,A,A,C_and_Above,Scholars,Not_Firstgen,Not_White,Male,Pell,Below_5,Below_1380,More_then_2_pass
1M1s9ETEmA67yfEb6h9N2qftPkvtu8BjxU,3,35,41,46,A,A,C,C,C,C_and_Above,Control,Not_Firstgen,White,Female,Pell,Above_5,Above_1380,More_then_2_pass
17qDsb1j95G1An1aQkCH7D6Bgs8CaQtDjn,100,87,50,74,B,C,F,A,A,C_and_Below,Scholars,Not_Firstgen,White,Male,Not_Pell,Above_5,Above_1380,Less_then_2_pass
1Gsf7ibWCxBGFQWiBQrdTVnCHd5jzg6HRe,9,49,57,20,B,F,F,F,A,C_and_Below,Scholars,Not_Firstgen,Not_White,Male,Pell,Below_5,Below_1380,Less_then_2_pass
13ngMhVjqGZQZdVtgodDE4hiWCMk4oaRVH,67,30,22,1,F,B,B,C,B,C_and_Below,Control,Firstgen,Not_White,Male,Not_Pell,Above_5,Above_1380,Less_then_2_pass
1NVxtwvA9NYcyb5GYXrkjWVJEtoAt3xvkK,79,8,23,88,B,F,A,C,A,C_and_Above,Control,Not_Firstgen,Not_White,Male,Pell,Above_5,Above_1380,Less_then_2_pass
1GtptqhmhpWEQLH5rajbYvgzsnWmrPhRPC,74,60,60,55,A,D,B,F,C,C_and_Below,Regular,Firstgen,Not_White,Male,Not_Pell,Above_5,Above_1380,Less_then_2_pass
15wG4j8GvJhnYLj2MAMcdhQM6CdhHodYuW,37,92,17,65,D,B,C,D,A,C_and_Above,Scholars,Not_Firstgen,White,Female,Not_Pell,Above_5,Above_1380,Less_then_2_pass
15ojRNsrhxLHWzgGcRGUbrHrjV8uARLjQB,41,10,29,2,A,F,C,B,A,C_and_Below,Scholars,Not_Firstgen,White,Female,Not_Pell,Below_5,Above_1380,More_then_2_pass
1GZfDemZVqyAzwTFxAcmBvvr3LXk9fqmA2,7,78,16,83,D,D,B,F,C,C_and_Below,Control,Not_Firstgen,Not_White,Male,Not_Pell,Above_5,Below_1380,Less_then_2_pass
15zQvRuJ3UBfaGHaH3tH8hsqA9k2s7G8fz,66,9,65,35,F,B,D,C,B,C_and_Above,Control,Firstgen,White,Female,Pell,Below_5,Above_1380,More_then_2_pass
1JFuQBnRHgeH2GQyrUBgJqkiwyjvkLC6EU,53,41,18,53,A,C,B,F,A,C_and_Below,Regular,Firstgen,Not_White,Female,Not_Pell,Below_5,Above_1380,Less_then_2_pass
1JGgEjD7zsr2HKAugBYxpq5BCxn74xAzyy,56,29,17,69,D,A,A,D,C,C_and_Below,Control,Not_Firstgen,Not_White,Female,Pell,Below_5,Below_1380,Less_then_2_pass
14ibVR9cD7zFvVsDzzCUUqjKJFQXh9Uu5Q,76,49,35,68,C,B,C,D,D,C_and_Below,Regular,Not_Firstgen,White,Female,Not_Pell,Above_5,Below_1380,More_then_2_pass
1G2mKiqCNtDrDVJdqrnYUGx6SmvnouvwiX,70,8,97,47,F,B,B,D,F,C_and_Above,Control,Not_Firstgen,Not_White,Male,Pell,Below_5,Below_1380,Less_then_2_pass
1HATcYawDfhLrck8P1w2C2nhXByBMLVb2E,34,12,91,39,B,F,B,B,D,C_and_Below,Scholars,Firstgen,Not_White,Female,Not_Pell,Below_5,Below_1380,More_then_2_pass
16FkhXHrdrHogEeY5Fb5wZPn2Y8HzJ4oXt,63,7,74,11,C,F,C,F,C,C_and_Above,Regular,Not_Firstgen,Not_White,Female,Pell,Above_5,Below_1380,Less_then_2_pass
1EJR3ch3y1EW1TnE7pSoJx5vVDTZDZDMKc,75,60,19,69,C,D,B,D,C,C_and_Above,Scholars,Not_Firstgen,White,Female,Not_Pell,Below_5,Above_1380,Less_then_2_pass
1Pz41jBwdbY9NVSuM6LaA5egfEWBAuu5b5,30,64,96,30,D,A,F,A,B,C_and_Above,Regular,Firstgen,Not_White,Female,Pell,Below_5,Below_1380,More_then_2_pass
1884gZGJwFupQcDPT6PKsdXH9hkJwYHeGW,65,39,45,6,D,B,C,C,F,C_and_Above,Control,Not_Firstgen,Not_White,Female,Not_Pell,Below_5,Above_1380,More_then_2_pass
1QB3pCuLMc7At8mmybShvmRt4cy14dwL7M,81,66,67,53,B,A,A,C,F,C_and_Above,Regular,Firstgen,White,Female,Not_Pell,Above_5,Above_1380,More_then_2_pass
1HXFz6NugPjsanXN35qa8dgRypHRXgARSn,95,10,19,37,A,B,B,C,C,C_and_Below,Scholars,Not_Firstgen,Not_White,Male,Not_Pell,Below_5,Below_1380,More_then_2_pass
1JyYoShoa8v4KonQhyWaHcagdgcQZz3EMM,78,88,22,23,D,D,B,C,D,C_and_Below,Scholars,Firstgen,Not_White,Female,Pell,Below_5,Below_1380,Less_then_2_pass
1Bnyz4E767mUogqndcoiEhnuVaz9TyeAsa,38,95,53,19,B,A,B,D,A,C_and_Below,Control,Firstgen,White,Male,Not_Pell,Above_5,Above_1380,Less_then_2_pass
1Ai9iJLtc6VdqNanBwkMMPqVEwGifb1Ma1,15,97,9,21,A,D,F,D,B,C_and_Below,Regular,Firstgen,White,Male,Not_Pell,Below_5,Above_1380,Less_then_2_pass
1BTnrWGCQGx39LvsoxV1nYEHsfMFyyDAXp,69,54,34,73,D,F,D,A,D,C_and_Below,Control,Not_Firstgen,White,Female,Pell,Above_5,Below_1380,Less_then_2_pass
1FXKRF4wsPfzNTJxYwpPGLBkVsnKarD368,18,60,7,4,C,C,C,F,F,C_and_Above,Scholars,Firstgen,White,Male,Pell,Below_5,Above_1380,More_then_2_pass
1MpN97ecS4duEynbwAWRLKaXhJovBAV5FV,59,35,31,28,B,C,C,F,A,C_and_Above,Regular,Firstgen,White,Male,Pell,Above_5,Below_1380,More_then_2_pass
1H1Gu9gbgn97yXpZCxCxmm3bVkGGoxZC6Z,63,63,44,18,A,C,D,A,D,C_and_Below,Control,Not_Firstgen,White,Male,Pell,Below_5,Above_1380,Less_then_2_pass
18pCutL9r22tN8BAo75f1kC9SDgAAFcoNF,6,65,49,8,B,B,F,D,C,C_and_Above,Control,Firstgen,Not_White,Female,Not_Pell,Above_5,Below_1380,Less_then_2_pass
1L6rzENFncwAV24NDVGm6bfjibfzwjUJ66,19,29,78,37,A,A,D,D,A,C_and_Below,Scholars,Not_Firstgen,White,Female,Pell,Above_5,Above_1380,More_then_2_pass
18RnVTKsUPZVZsmgm1sxD6HVZoCb9F6jKt,1,42,78,19,A,F,A,F,C,C_and_Above,Scholars,Not_Firstgen,Not_White,Female,Pell,Above_5,Above_1380,More_then_2_pass
1GCPNKdG4sUteTGe4rngM8Z8gEd2nnUKf2,51,18,95,82,A,F,C,F,D,C_and_Below,Regular,Not_Firstgen,Not_White,Female,Pell,Above_5,Below_1380,Less_then_2_pass
1LfABoeGQGWkr5gMjCMfJFyDWu5DdMfCj6,39,36,11,32,C,C,A,F,F,C_and_Above,Scholars,Firstgen,White,Female,Pell,Above_5,Above_1380,More_then_2_pass
1PaqVV9KJcjVRFfpLkATcqcRLmqkFwSfwK,19,7,15,25,D,C,D,C,D,C_and_Below,Control,Not_Firstgen,Not_White,Female,Pell,Below_5,Above_1380,More_then_2_pass
1DmWiq4j1TuAdMjNNV5Ln8aXAYEedG2mED,47,61,25,26,C,A,B,B,B,C_and_Above,Regular,Not_Firstgen,White,Female,Pell,Below_5,Above_1380,Less_then_2_pass
1VbdB1vkR3JCnYVJpvzbNNrBNf6TXeUxV,80,97,89,57,B,F,C,C,D,C_and_Below,Regular,Not_Firstgen,Not_White,Female,Pell,Below_5,Above_1380,Less_then_2_pass
16YWByJsEa4UAJeKGpZZQuU3r9NUyecydX,57,47,27,2,C,C,C,B,D,C_and_Above,Control,Not_Firstgen,White,Male,Not_Pell,Above_5,Above_1380,Less_then_2_pass
1MaLDVMFfivneAHWuDd4TF15LsRtkcJv6F,51,66,26,88,D,C,D,A,D,C_and_Below,Scholars,Firstgen,White,Female,Pell,Below_5,Above_1380,More_then_2_pass
1LsGUE6aDUHzjRT8pz1ZvvDzp9Q3yY3XJb,95,45,59,66,F,B,C,A,B,C_and_Above,Scholars,Firstgen,White,Female,Pell,Above_5,Below_1380,Less_then_2_pass
1BMGVzK2woYeHuHpDWCEmceBx6tpNjW9ab,67,0,15,1,F,F,A,C,F,C_and_Above,Scholars,Firstgen,Not_White,Female,Not_Pell,Below_5,Above_1380,More_then_2_pass
